customerNumber,customerName,contactFirstName,contactLastName,phone,addressLine1,addressLine2,city,state,postalCode,country
103,Atelier graphique,Carine ,Schmitt,40.32.2555,"54, rue Royale",,Nantes,,44000,France
112,Signal Gift Stores,Jean,King,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA
114,"Australian Collectors, Co.",Peter,Ferguson,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
119,La Rochelle Gifts,Janine ,Labrune,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France
121,Baane Mini Imports,Jonas ,Bergulfsen,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway
124,Mini Gifts Distributors Ltd.,Susan,Nelson,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
125,Havel & Zbyszek Co,Zbyszek ,Piestrzeniewicz,(26) 642-7555,ul. Filtrowa 68,,Warszawa,,01-012,Poland
128,"Blauer See Auto, Co.",Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany
129,Mini Wheels Co.,Julie,Murphy,6505555787,5557 North Pendale Street,,San Francisco,CA,94217,USA
131,Land of Toys Inc.,Kwai,Lee,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
141,Euro+ Shopping Channel,Diego ,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
144,"Volvo Model Replicas, Co",Christina ,Berglund,0921-12 3555,Berguvsvägen  8,,Luleå,,S-958 22,Sweden
145,Danish Wholesale Imports,Jytte ,Petersen,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark
146,"Saveley & Henriot, Co.",Mary ,Saveley,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France
148,"Dragon Souveniers, Ltd.",Eric,Natividad,+65 221 7555,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,Singapore,,079903,Singapore
151,Muscle Machine Inc,Jeff,Young,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
157,Diecast Classics Inc.,Kelvin,Leong,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
161,Technics Stores Inc.,Juri,Hashimoto,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
